                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.4028,                 1.8349,                 1.9377,                0.57707,                  0.672,                0.64275,                0.51766,                 1.5433,                 1.5237,                 1.5372,             0.00066002,             0.00066002,             0.00066002
                     85,                 1.4836,                 1.7573,                  1.887,                0.53178,                0.71013,                0.62341,                0.45574,                  1.844,                 1.5582,                 1.6473,             0.00065703,             0.00065703,             0.00065703
                     86,                 1.4707,                 1.7796,                  1.934,                0.57171,                0.72703,                 0.6627,                 0.4921,                 1.8407,                 1.5161,                 1.5715,             0.00065403,             0.00065403,             0.00065403
                     87,                 1.3856,                 1.7062,                 1.8688,                0.57704,                0.67983,                 0.6461,                0.51301,                 1.6976,                 1.5125,                 1.6116,             0.00065103,             0.00065103,             0.00065103
                     88,                 1.3179,                 1.5684,                 1.8701,                0.60168,                0.69063,                0.69978,                0.54585,                 1.6383,                 1.4169,                 1.5663,             0.00064803,             0.00064803,             0.00064803
                     89,                 1.2376,                 1.5878,                  1.906,                0.59684,                0.69455,                0.69661,                0.55611,                 1.4968,                 1.3133,                 1.5454,             0.00064503,             0.00064503,             0.00064503
                     90,                 1.2723,                 1.6599,                 1.9128,                0.63455,                0.52631,                0.64814,                0.50892,                 1.5603,                 1.3806,                 1.5556,             0.00064203,             0.00064203,             0.00064203
                     91,                 1.3217,                 1.6324,                 1.8785,                0.66114,                  0.729,                0.73586,                0.55928,                 1.5892,                  1.364,                 1.6615,             0.00063903,             0.00063903,             0.00063903
                     92,                 1.3581,                 1.6166,                 1.8979,                0.70967,                0.70565,                0.75004,                0.52677,                 1.7385,                  1.429,                  1.639,             0.00063603,             0.00063603,             0.00063603
                     93,                 1.3121,                 1.6536,                 1.8859,                0.55306,                0.65624,                0.63918,                0.47392,                 1.6217,                 1.6303,                 1.5606,             0.00063303,             0.00063303,             0.00063303
                     94,                 1.3355,                 1.6346,                 1.8939,                0.80384,                0.67935,                0.76725,                0.60175,                 1.5315,                 1.3646,                 1.6071,             0.00063003,             0.00063003,             0.00063003
                     95,                 1.3085,                 1.5575,                 1.8709,                0.65545,                0.74298,                 0.7678,                0.60698,                 1.4958,                 1.2794,                 1.5477,             0.00062703,             0.00062703,             0.00062703
                     96,                 1.2267,                 1.5039,                 1.8656,                0.67523,                0.72033,                0.75039,                0.57741,                 1.5936,                 1.3304,                 1.5811,             0.00062403,             0.00062403,             0.00062403
                     97,                 1.1881,                 1.5842,                  1.862,                0.63186,                0.75198,                0.75216,                0.60799,                  1.551,                 1.4055,                 1.5876,             0.00062103,             0.00062103,             0.00062103
                     98,                 1.2873,                 1.6289,                 1.8614,                0.66452,                0.69828,                0.73149,                0.57608,                 1.5134,                 1.3791,                 1.5859,             0.00061803,             0.00061803,             0.00061803
                     99,                  1.322,                 1.5106,                 1.8642,                0.63773,                0.66589,                0.72461,                0.56346,                 1.6015,                 1.6057,                 1.6198,             0.00061503,             0.00061503,             0.00061503
                    100,                 1.3356,                 1.5404,                 1.8592,                0.68118,                0.77525,                 0.7584,                0.62821,                 1.4472,                 1.3398,                 1.5667,             0.00061203,             0.00061203,             0.00061203
                    101,                  1.257,                  1.502,                 1.8801,                0.75724,                 0.7181,                0.76729,                0.62783,                 1.4463,                 1.2347,                 1.5228,             0.00060903,             0.00060903,             0.00060903
                    102,                 1.3023,                 1.5306,                 1.8578,                0.79242,                0.69962,                0.78885,                 0.6216,                 1.5296,                 1.2539,                 1.5674,             0.00060603,             0.00060603,             0.00060603
                    103,                 1.2551,                 1.5248,                 1.8334,                0.76685,                0.69074,                 0.7849,                0.60526,                 1.6056,                 1.2642,                 1.6401,             0.00060303,             0.00060303,             0.00060303
                    104,                 1.3353,                 1.5053,                 1.8322,                0.76019,                0.69249,                0.78047,                0.63592,                 1.5136,                 1.3696,                 1.5731,             0.00060003,             0.00060003,             0.00060003
                    105,                 1.1866,                 1.4538,                 1.8365,                0.72266,                0.73617,                0.78917,                0.63967,                  1.506,                 1.2195,                 1.4954,             0.00059703,             0.00059703,             0.00059703
                    106,                 1.3191,                 1.5169,                 1.8593,                0.81521,                0.59736,                0.77942,                0.61436,                 1.5755,                 1.2885,                 1.5559,             0.00059403,             0.00059403,             0.00059403
                    107,                 1.2563,                 1.4547,                 1.8407,                 0.8139,                0.65878,                0.78671,                 0.6255,                 1.5476,                  1.216,                 1.5175,             0.00059103,             0.00059103,             0.00059103
                    108,                 1.1991,                 1.3832,                 1.8309,                0.82962,                0.70162,                0.81925,                0.67207,                 1.3518,                 1.0811,                 1.5125,             0.00058803,             0.00058803,             0.00058803
                    109,                 1.2501,                 1.4313,                 1.8217,                0.75646,                0.70929,                0.79281,                0.62843,                 1.5025,                 1.1559,                 1.5658,             0.00058503,             0.00058503,             0.00058503
                    110,                 1.2744,                 1.4323,                 1.8466,                0.74716,                0.83197,                 0.8391,                0.65199,                 1.5032,                 1.1743,                 1.5819,             0.00058203,             0.00058203,             0.00058203
                    111,                 1.2106,                 1.3992,                 1.8252,                0.76203,                0.70656,                0.79893,                0.63567,                 1.5814,                 1.3265,                 1.6013,             0.00057903,             0.00057903,             0.00057903
                    112,                 1.1797,                 1.3803,                 1.8111,                0.82139,                0.67659,                0.79058,                0.60343,                  1.662,                 1.3514,                 1.5565,             0.00057603,             0.00057603,             0.00057603
                    113,                  1.247,                 1.4176,                 1.8098,                0.79805,                0.73534,                0.83261,                0.67477,                 1.4719,                 1.1937,                 1.5047,             0.00057303,             0.00057303,             0.00057303
                    114,                  1.219,                 1.4431,                 1.8314,                0.73199,                0.79823,                0.83138,                0.67346,                 1.3631,                 1.1126,                 1.4864,             0.00057003,             0.00057003,             0.00057003
                    115,                 1.1599,                 1.3195,                 1.8239,                0.67415,                0.78271,                0.80126,                 0.6515,                 1.4082,                 1.2247,                 1.5171,             0.00056703,             0.00056703,             0.00056703
                    116,                 1.1654,                 1.3993,                  1.826,                0.68499,                0.83504,                0.82022,                0.65534,                 1.4571,                 1.2296,                 1.5241,             0.00056403,             0.00056403,             0.00056403
                    117,                 1.1798,                 1.3195,                 1.8187,                0.82417,                0.69459,                0.79381,                0.64695,                 1.3924,                 1.1623,                 1.5113,             0.00056103,             0.00056103,             0.00056103
                    118,                 1.1797,                 1.3605,                 1.8204,                0.76954,                0.72594,                0.80412,                0.65731,                 1.3863,                 1.1884,                   1.51,             0.00055804,             0.00055804,             0.00055804
                    119,                 1.1333,                 1.2997,                 1.8301,                0.75458,                0.70056,                0.76041,                0.61249,                 1.3797,                  1.126,                 1.4609,             0.00055504,             0.00055504,             0.00055504
                    120,                 1.1492,                 1.2824,                 1.8264,                0.79417,                0.80943,                0.85366,                0.70461,                  1.399,                 1.0379,                 1.4999,             0.00055204,             0.00055204,             0.00055204
                    121,                 1.1686,                 1.2528,                 1.8358,                0.81698,                0.78298,                0.83589,                0.65363,                 1.5682,                 1.1209,                 1.5324,             0.00054904,             0.00054904,             0.00054904
                    122,                 1.1481,                 1.2783,                 1.8165,                0.80479,                0.75549,                0.83664,                0.67736,                 1.4388,                 1.1266,                 1.5354,             0.00054604,             0.00054604,             0.00054604
                    123,                  1.225,                 1.3271,                 1.8287,                0.77949,                0.71282,                0.78675,                0.61638,                  1.557,                 1.1884,                 1.5578,             0.00054304,             0.00054304,             0.00054304
                    124,                 1.2233,                 1.3423,                 1.8307,                0.76406,                0.73638,                 0.8054,                0.65166,                 1.4562,                 1.2138,                  1.551,             0.00054004,             0.00054004,             0.00054004
                    125,                 1.1989,                 1.4083,                 1.8058,                0.81986,                0.70699,                0.81712,                0.64697,                 1.4578,                 1.1738,                 1.4675,             0.00053704,             0.00053704,             0.00053704
                    126,                 1.1013,                 1.3391,                 1.7978,                0.74216,                0.81605,                0.84647,                0.69638,                 1.3345,                 1.0287,                 1.4801,             0.00053404,             0.00053404,             0.00053404
                    127,                 1.0896,                 1.2583,                 1.8116,                0.74832,                0.83093,                0.86581,                0.71576,                 1.3389,                 1.0502,                 1.4832,             0.00053104,             0.00053104,             0.00053104
                    128,                 1.1601,                  1.234,                 1.8042,                0.84859,                0.71661,                0.84515,                0.67653,                 1.4733,                 1.0972,                 1.5421,             0.00052804,             0.00052804,             0.00052804
                    129,                 1.1214,                 1.3146,                 1.8107,                0.81053,                0.72477,                 0.8499,                0.70307,                 1.2916,                 1.0929,                 1.4859,             0.00052504,             0.00052504,             0.00052504
                    130,                 1.1437,                 1.3275,                 1.8231,                0.84294,                0.71613,                0.84649,                0.70849,                 1.3544,                  1.067,                 1.4779,             0.00052204,             0.00052204,             0.00052204
                    131,                 1.2072,                 1.2939,                 1.8305,                0.76737,                0.77484,                0.84634,                0.69513,                 1.3736,                 1.0525,                 1.4842,             0.00051904,             0.00051904,             0.00051904
                    132,                 1.1338,                  1.255,                 1.8015,                0.87726,                 0.7979,                0.87195,                0.69023,                 1.5186,                 1.1193,                 1.4883,             0.00051604,             0.00051604,             0.00051604
                    133,                 1.1728,                 1.2767,                 1.8098,                 0.8072,                0.80272,                0.87272,                0.72248,                  1.364,                 1.0014,                 1.4828,             0.00051304,             0.00051304,             0.00051304
                    134,                 1.1349,                 1.2682,                 1.8151,                0.80091,                0.77783,                0.85117,                0.69818,                 1.3919,                 1.0752,                 1.4988,             0.00051004,             0.00051004,             0.00051004
                    135,                 1.0862,                 1.2726,                  1.788,                0.85995,                0.82141,                0.90537,                0.72443,                 1.4601,                0.99952,                  1.521,             0.00050704,             0.00050704,             0.00050704
                    136,                 1.0778,                 1.2271,                 1.7897,                0.83198,                0.79652,                 0.8839,                0.73222,                 1.3203,                 1.0106,                  1.482,             0.00050404,             0.00050404,             0.00050404
                    137,                 1.1258,                 1.2333,                 1.8059,                0.84542,                0.75362,                0.87197,                0.73152,                 1.3095,                0.96755,                 1.4614,             0.00050104,             0.00050104,             0.00050104
                    138,                 1.1007,                 1.1591,                 1.7918,                0.84497,                0.79999,                0.89057,                0.74107,                 1.3443,                0.97052,                 1.4796,             0.00049804,             0.00049804,             0.00049804
                    139,                 1.0837,                 1.1744,                 1.8164,                0.83433,                0.78645,                0.87693,                  0.733,                 1.3933,                 1.0102,                 1.4918,             0.00049504,             0.00049504,             0.00049504
                    140,                 1.1309,                 1.1658,                 1.7955,                0.75211,                0.81766,                0.87526,                0.69173,                 1.4841,                 1.0232,                 1.5464,             0.00049204,             0.00049204,             0.00049204
                    141,                 1.0758,                   1.16,                 1.8048,                0.76747,                 0.8148,                0.87689,                0.72945,                 1.3356,                 1.0425,                 1.4825,             0.00048904,             0.00048904,             0.00048904
                    142,                 1.1008,                 1.1824,                 1.7742,                0.81374,                0.77786,                0.87576,                0.71108,                 1.3823,                   1.05,                 1.4674,             0.00048604,             0.00048604,             0.00048604
                    143,                 1.0838,                 1.1807,                 1.8058,                0.82841,                0.73746,                 0.8595,                0.70482,                 1.4651,                 1.1504,                 1.4892,             0.00048304,             0.00048304,             0.00048304
                    144,                 1.0881,                 1.1973,                 1.7703,                0.81174,                0.82474,                0.87916,                0.71134,                 1.4056,                 1.0501,                 1.5046,             0.00048004,             0.00048004,             0.00048004
                    145,                 1.0731,                 1.1133,                  1.789,                0.88801,                0.77054,                0.86846,                0.70051,                 1.4501,                0.99625,                 1.5314,             0.00047704,             0.00047704,             0.00047704
                    146,                 1.0518,                 1.1232,                 1.7601,                0.79784,                0.77707,                0.85998,                0.70756,                 1.3102,                 1.0103,                 1.4775,             0.00047404,             0.00047404,             0.00047404
                    147,                 1.0321,                 1.1379,                 1.7779,                0.82167,                0.77807,                0.86647,                0.72381,                 1.3796,                0.94878,                 1.4935,             0.00047104,             0.00047104,             0.00047104
                    148,                 1.0563,                 1.1551,                 1.7996,                0.83906,                 0.8447,                0.89814,                0.74739,                 1.3634,                0.91765,                 1.4855,             0.00046804,             0.00046804,             0.00046804
                    149,                  1.035,                 1.0709,                 1.7794,                0.81525,                0.79173,                0.87918,                0.72718,                 1.3757,                0.93833,                 1.4653,             0.00046504,             0.00046504,             0.00046504
                    150,                  1.041,                 1.1636,                 1.7821,                0.92027,                0.72773,                0.87441,                0.73718,                  1.293,                 0.8979,                 1.4803,             0.00046204,             0.00046204,             0.00046204
