                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1997,                 1.0703,                 1.8372,                0.90258,                0.79278,                0.93381,                0.79886,                 1.2221,                0.96899,                  1.372,              0.0007789,              0.0007789,              0.0007789
                     69,                 1.1614,                 1.0723,                 1.8136,                0.88664,                0.78761,                0.89096,                0.74196,                 1.2904,                 1.0766,                  1.417,              0.0007756,              0.0007756,              0.0007756
                     70,                 1.2339,                 1.0808,                 1.8325,                0.93616,                0.74248,                 0.8825,                0.69921,                 1.5188,                 1.0475,                 1.4221,              0.0007723,              0.0007723,              0.0007723
                     71,                 1.2294,                 1.0941,                 1.8152,                0.85804,                0.75835,                0.86445,                0.74421,                 1.2447,                 1.1173,                 1.3805,               0.000769,               0.000769,               0.000769
                     72,                 1.2117,                 1.0503,                  1.812,                0.94965,                0.71843,                0.87034,                0.72299,                 1.4593,                  1.072,                 1.4447,              0.0007657,              0.0007657,              0.0007657
                     73,                 1.2055,                 1.0222,                 1.8256,                0.80081,                0.85729,                0.90384,                0.72994,                 1.4179,                 1.1445,                 1.3913,              0.0007624,              0.0007624,              0.0007624
                     74,                 1.1449,                 1.0229,                 1.8176,                0.92126,                0.78824,                0.87125,                0.74917,                 1.3007,                   1.07,                 1.3606,              0.0007591,              0.0007591,              0.0007591
                     75,                 1.2015,                 1.0289,                 1.8242,                0.86565,                 0.7782,                0.85511,                 0.7095,                 1.4483,                 1.2512,                 1.4939,              0.0007558,              0.0007558,              0.0007558
                     76,                  1.219,                 1.0007,                 1.8052,                0.90112,                0.81094,                0.89832,                  0.757,                  1.292,                  1.223,                 1.3999,              0.0007525,              0.0007525,              0.0007525
                     77,                 1.1536,                0.99907,                 1.8062,                0.86121,                0.77811,                0.83843,                0.67691,                 1.4938,                 1.2992,                 1.4197,              0.0007492,              0.0007492,              0.0007492
                     78,                 1.1213,                0.97283,                 1.8163,                0.87325,                0.84459,                0.90266,                0.76806,                 1.3111,                 1.0485,                 1.3945,              0.0007459,              0.0007459,              0.0007459
                     79,                 1.0985,                0.97144,                 1.8026,                 0.8688,                0.84588,                0.89287,                0.77591,                  1.179,                0.92403,                 1.3817,              0.0007426,              0.0007426,              0.0007426
                     80,                 1.1429,                 1.0248,                 1.8091,                 0.6942,                0.80117,                 0.8447,                 0.7246,                 1.2211,                 1.1098,                 1.3904,              0.0007393,              0.0007393,              0.0007393
                     81,                 1.1696,                 1.0105,                  1.796,                0.68591,                0.84706,                0.85957,                0.72397,                 1.2428,                 1.3486,                 1.3542,               0.000736,               0.000736,               0.000736
                     82,                  1.194,                 1.0285,                 1.8125,                0.90164,                0.77361,                0.87224,                0.74917,                 1.1963,                 1.3694,                 1.3514,              0.0007327,              0.0007327,              0.0007327
                     83,                 1.2187,                0.96497,                 1.8033,                0.91857,                0.77344,                0.88774,                0.73837,                 1.3674,                 1.3159,                 1.3467,              0.0007294,              0.0007294,              0.0007294
                     84,                 1.2003,                0.95125,                 1.8041,                0.89002,                0.80463,                0.89551,                0.74041,                 1.3054,                 1.3833,                 1.3688,              0.0007261,              0.0007261,              0.0007261
                     85,                 1.0911,                0.93967,                 1.7995,                0.79343,                0.87889,                0.91305,                0.76977,                 1.3617,                 1.3831,                   1.33,              0.0007228,              0.0007228,              0.0007228
                     86,                 1.1066,                0.93161,                 1.7767,                 0.9532,                 0.7724,                0.92586,                0.75759,                 1.4064,                 1.2296,                 1.3936,              0.0007195,              0.0007195,              0.0007195
                     87,                 1.1796,                0.98264,                 1.8032,                0.91008,                0.84302,                0.94006,                0.79095,                 1.2955,                  1.397,                 1.3701,              0.0007162,              0.0007162,              0.0007162
                     88,                 1.1063,                0.93373,                 1.7893,                0.86727,                0.84722,                0.92059,                0.78371,                 1.1293,                 1.2712,                 1.3502,              0.0007129,              0.0007129,              0.0007129
                     89,                 1.1069,                0.91318,                 1.7889,                0.90365,                0.80944,                0.89548,                0.72717,                 1.3583,                  1.143,                 1.3647,              0.0007096,              0.0007096,              0.0007096
                     90,                 1.1234,                0.92937,                 1.7982,                0.88798,                0.82944,                0.89975,                0.76249,                 1.1765,                  1.213,                 1.3415,              0.0007063,              0.0007063,              0.0007063
                     91,                 1.0851,                0.88709,                 1.7728,                0.94135,                0.79995,                0.91289,                0.77105,                 1.3014,                 1.0339,                 1.3591,               0.000703,               0.000703,               0.000703
                     92,                 1.0456,                0.89289,                 1.7732,                0.87376,                0.82385,                0.90881,                0.77571,                   1.12,                 1.1567,                  1.348,              0.0006997,              0.0006997,              0.0006997
