                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.0629,                0.87257,                 1.7208,                0.94848,                0.79187,                0.89309,                0.77767,                 1.1993,                0.65825,                 1.4774,             0.00060303,             0.00060303,             0.00060303
                    104,                 1.1018,                0.91675,                 1.7281,                0.93673,                0.77465,                0.89601,                0.77395,                  1.257,                0.66936,                 1.5239,             0.00060003,             0.00060003,             0.00060003
                    105,                 1.0522,                0.92816,                  1.737,                0.91966,                0.81603,                0.90236,                0.78533,                 1.1913,                0.68133,                 1.4855,             0.00059703,             0.00059703,             0.00059703
                    106,                 1.0829,                0.90246,                 1.7176,                0.94391,                0.80054,                0.90514,                0.79629,                 1.1643,                0.65934,                 1.4769,             0.00059403,             0.00059403,             0.00059403
                    107,                 1.0649,                0.87256,                 1.7158,                0.93223,                0.81127,                0.90485,                0.78825,                    1.2,                 0.6711,                 1.4845,             0.00059103,             0.00059103,             0.00059103
                    108,                  1.036,                0.87063,                 1.7263,                0.94367,                0.78522,                0.88856,                0.76603,                 1.2198,                0.65631,                 1.4669,             0.00058803,             0.00058803,             0.00058803
                    109,                 1.0885,                0.88239,                 1.7027,                0.87726,                0.80646,                0.88308,                0.77258,                 1.2386,                 0.7588,                 1.4828,             0.00058503,             0.00058503,             0.00058503
                    110,                 1.0549,                0.84743,                 1.7094,                0.87708,                0.89277,                0.92622,                0.80003,                 1.2142,                0.61461,                 1.4802,             0.00058203,             0.00058203,             0.00058203
                    111,                 1.0241,                0.86464,                 1.7304,                0.92889,                 0.8268,                0.90778,                 0.7956,                 1.1505,                0.61762,                 1.4742,             0.00057903,             0.00057903,             0.00057903
                    112,                 1.0346,                0.86209,                 1.7151,                0.92069,                0.79213,                 0.8909,                0.77786,                 1.1504,                0.66832,                  1.476,             0.00057603,             0.00057603,             0.00057603
                    113,                 1.0736,                0.92352,                 1.7373,                0.90063,                0.82297,                0.90042,                0.79235,                 1.1676,                0.72747,                 1.4874,             0.00057303,             0.00057303,             0.00057303
                    114,                 1.0913,                0.92023,                 1.7331,                0.87973,                0.76991,                0.88741,                0.77013,                 1.2634,                0.84255,                  1.551,             0.00057003,             0.00057003,             0.00057003
                    115,                 1.0483,                0.93713,                 1.7206,                0.92574,                0.76217,                0.89376,                0.77654,                  1.215,                0.71863,                 1.5168,             0.00056703,             0.00056703,             0.00056703
                    116,                 1.0896,                0.87974,                 1.7331,                0.90425,                0.80384,                0.90856,                0.79966,                 1.1563,                0.67183,                 1.4853,             0.00056403,             0.00056403,             0.00056403
                    117,                 1.0301,                0.81846,                 1.7153,                0.87836,                0.81417,                0.90457,                0.79206,                 1.1421,                0.67604,                 1.4854,             0.00056103,             0.00056103,             0.00056103
                    118,                 1.0873,                0.85951,                 1.7137,                0.90002,                0.81947,                0.90798,                0.78807,                 1.1734,                0.68366,                 1.4948,             0.00055804,             0.00055804,             0.00055804
                    119,                 1.0687,                0.89106,                 1.7169,                0.88971,                0.81874,                0.90192,                 0.7881,                 1.1779,                 0.7104,                 1.4969,             0.00055504,             0.00055504,             0.00055504
                    120,                 1.0498,                 0.8888,                 1.7165,                 0.9247,                0.80674,                0.91088,                0.80151,                  1.142,                0.60478,                 1.4718,             0.00055204,             0.00055204,             0.00055204
